548.0000	154.0000
516.0000	101.0000
445.0000	80.0000
354.0000	101.0000
280.0000	161.0000
228.0000	226.0000
267.0000	271.0000
248.0000	328.0000
304.0000	378.0000
282.0000	460.0000
249.0000	546.0000
217.0000	582.0000
350.0000	556.0000
450.0000	621.0000
548.0000	715.0000
586.0000	813.0000
628.0000	766.0000
693.0000	696.0000
767.0000	643.0000
778.0000	594.0000
812.0000	515.0000
922.0000	564.0000
926.0000	472.0000
930.0000	359.0000
929.0000	304.0000
914.0000	239.0000
942.0000	220.0000
849.0000	120.0000
761.0000	82.0000
710.0000	62.0000
645.0000	64.0000
608.0000	114.0000
589.0000	153.0000
